age_group,age_range,hour,status
Older Adult,≥ 65 Years,1,Not Recommended
Older Adult,≥ 65 Years,2,Not Recommended
Older Adult,≥ 65 Years,3,Not Recommended
Older Adult,≥ 65 Years,4,Not Recommended
Older Adult,≥ 65 Years,5,May Be Appropriate
Older Adult,≥ 65 Years,6,May Be Appropriate
Older Adult,≥ 65 Years,7,Recommended Range
Older Adult,≥ 65 Years,8,Recommended Range
Older Adult,≥ 65 Years,9,Recommended Range
Older Adult,≥ 65 Years,10,Not Recommended
Older Adult,≥ 65 Years,11,Not Recommended
Older Adult,≥ 65 Years,12,Not Recommended
Older Adult,≥ 65 Years,13,Not Recommended
Older Adult,≥ 65 Years,14,Not Recommended
Older Adult,≥ 65 Years,15,Not Recommended
Older Adult,≥ 65 Years,16,Not Recommended
Older Adult,≥ 65 Years,17,Not Recommended
Older Adult,≥ 65 Years,18,Not Recommended
Older Adult,≥ 65 Years,19,Not Recommended
Older Adult,≥ 65 Years,20,Not Recommended
Adult,26-64 Years,1,Not Recommended
Adult,26-64 Years,2,Not Recommended
Adult,26-64 Years,3,Not Recommended
Adult,26-64 Years,4,Not Recommended
Adult,26-64 Years,5,Not Recommended
Adult,26-64 Years,6,May Be Appropriate
Adult,26-64 Years,7,Recommended Range
Adult,26-64 Years,8,Recommended Range
Adult,26-64 Years,9,Recommended Range
Adult,26-64 Years,10,May Be Appropriate
Adult,26-64 Years,11,Not Recommended
Adult,26-64 Years,12,Not Recommended
Adult,26-64 Years,13,Not Recommended
Adult,26-64 Years,14,Not Recommended
Adult,26-64 Years,15,Not Recommended
Adult,26-64 Years,16,Not Recommended
Adult,26-64 Years,17,Not Recommended
Adult,26-64 Years,18,Not Recommended
Adult,26-64 Years,19,Not Recommended
Adult,26-64 Years,20,Not Recommended
Young Adult,18-25 Years,1,Not Recommended
Young Adult,18-25 Years,2,Not Recommended
Young Adult,18-25 Years,3,Not Recommended
Young Adult,18-25 Years,4,Not Recommended
Young Adult,18-25 Years,5,Not Recommended
Young Adult,18-25 Years,6,May Be Appropriate
Young Adult,18-25 Years,7,Recommended Range
Young Adult,18-25 Years,8,Recommended Range
Young Adult,18-25 Years,9,Recommended Range
Young Adult,18-25 Years,10,Recommended Range
Young Adult,18-25 Years,11,May Be Appropriate
Young Adult,18-25 Years,12,Not Recommended
Young Adult,18-25 Years,13,Not Recommended
Young Adult,18-25 Years,14,Not Recommended
